#NAME IN REPO,DESCRIPTION
atool,manages and gives information about archives
borgbackup,
calcurse,lightweight terminal-based calendar
dialog,
docx2txt,enables .docx file previews in vifm/terminal
fzf,fuzzy finder tool
highlight,highlight code output
htop,system usage information and displays processes
inxi,CLI system information tool
molly-guard,protects machines from accidental shutdowns/reboots (via ssh)
neofetch,displays basic system information
odt2txt,enables .odt file previews in vifm/terminal
openssh-server,
p7zip-full,tool to (de-)compress archives
procinfo,tools to display information from /proc and /sys
python3-llfuse,
sshfs,FUSE-based filesystem client for mounting remote directories
tmux,terminal multiplexer
tree,lists directory contents like trees
unrar,tool to (de-)compress archives
w3m,terminal browser which can also view images
zsh,
zsh-syntax-highlighting,
#i3,
blueman,
feh,image viewer that also sets the wallpaper
i3,window manager
i3blocks,
imagemagick,
jq,Command-line JSON processor (used in a script)
libnotify-bin,provides notify-send
maim,can take quick screenshots at your request
numlockx,turns on NumLock when you login
pavucontrol,pulseaudio volume control
policykit-1-gnome,Gnome authentication agent
xbacklight,RandR-based backlight control application
xdotool,window action utilities on the command line (maim)
xsettingsd,
libxkbfile-dev,xkb-switch dependency
#general,
alacritty,terminal emulator
fonts-font-awesome,font for i3blocks
g810-led,
gthumb,image viewer
hunspell-el,Gerek dicttianery
mpv,simple video/gif player
paprefs,advanced pulseaudio settings
pcmanfm,simple GUI file manager
playerctl,media control for some mediaplayers
#dev,
cmake,cross-platform open-source make systemt
code,
gitg,
neovim,
python3-autopep8,
python3-pip,
shellcheck,
#Virtualization,
qemu,
ebtables,
virt-manager,
#sysad,
etherwake,
pv,
smartmontools,
# exa,https://github.com/ogham/exa/releases/
# docker-compose,https://docs.docker.com/engine/install/ubuntu/
# docker,https://docs.docker.com/engine/install/ubuntu/
